0,15.0
1,15.0
2,15.0
3,15.0
4,15.0
5,13.0
8,15.0
9,15.0
10,15.0
11,15.0
12,15.0
13,15.0
14,15.0
15,15.0
16,15.0
17,15.0
18,15.0
19,15.0
20,15.0
21,15.0
22,15.0
23,15.0
24,15.0
25,15.0
26,15.0
27,15.0
28,15.0
29,15.0
30,15.0
31,15.0
32,15.0
33,15.0
34,15.0
35,15.0
36,15.0
37,15.0
38,15.0
39,15.0
40,15.0
41,15.0
42,15.0
43,15.0
44,15.0
45,15.0
46,15.0
47,15.0
48,15.0
49,15.0
50,15.0
51,15.0
52,15.0
53,15.0
54,13.0
55,15.0
56,15.0
57,14.0
58,15.0
59,15.0
60,15.0
61,15.0
62,15.0
63,15.0
64,15.0
65,15.0
66,15.0
68,15.0
69,15.0
70,15.0
71,15.0
72,15.0
73,14.0
74,15.0
75,15.0
76,15.0
77,15.0
79,15.0
80,15.0
81,15.0
82,15.0
83,15.0
84,15.0
85,15.0
86,15.0
87,15.0
88,15.0
89,15.0
90,13.0
91,15.0
92,15.0
93,15.0
94,15.0
95,12.0
96,15.0
97,15.0
98,15.0
100,15.0
101,15.0
103,15.0
104,14.0
131,11.0
132,16.0
133,16.0
134,16.0
135,16.0
136,16.0
137,16.0
138,16.0
139,16.0
140,16.0
141,16.0
142,16.0
143,16.0
144,16.0
145,16.0
146,16.0
147,16.0
148,16.0
149,16.0
150,15.0
151,15.0
152,16.0
153,16.0
154,16.0
156,16.0
157,13.0
158,16.0
160,16.0
161,16.0
162,16.0
163,15.0
164,16.0
165,16.0
166,16.0
167,16.0
168,16.0
169,16.0
170,16.0
171,16.0
172,16.0
173,16.0
174,16.0
175,16.0
176,16.0
177,16.0
178,16.0
179,16.0
180,12.0
181,16.0
182,16.0
183,16.0
184,16.0
185,16.0
186,16.0
187,16.0
188,16.0
189,16.0
190,16.0
191,16.0
192,16.0
193,16.0
194,16.0
195,16.0
196,16.0
197,16.0
199,16.0
200,16.0
201,16.0
202,16.0
203,16.0
204,16.0
205,16.0
206,16.0
207,16.0
208,16.0
209,16.0
210,16.0
211,16.0
213,15.0
214,16.0
215,15.0
216,16.0
217,16.0
218,16.0
219,14.0
220,16.0
221,14.0
222,16.0
223,16.0
224,16.0
225,15.0
226,16.0
227,16.0
228,16.0
229,16.0
230,16.0
231,16.0
232,16.0
233,16.0
234,16.0
235,16.0
236,11.0
237,15.0
238,16.0
239,16.0
240,16.0
241,16.0
329,16.0
330,16.0
331,16.0
332,16.0
333,16.0
334,16.0
335,16.0
336,16.0
337,16.0
338,16.0
339,16.0
340,16.0
341,16.0
342,16.0
343,16.0
344,15.0
345,16.0
346,16.0
347,16.0
348,16.0
349,16.0
350,16.0
351,15.0
352,16.0
353,16.0
354,16.0
355,16.0
